live_url,group,target,note
/1-day-pass,REDIRECT,/trial-pass,explicit mapping
/1-day-trial-pass-active-form,REDIRECT,/trial-pass,explicit mapping
/3-group-fitness-classes-you-havent-tried-but-definitely-should,REDIRECT,/,blog removed -> homepage
/4-exercises-to-start-building-your-booty,REDIRECT,/,blog removed -> homepage
/4-reasons-not-to-make-a-new-years-resolution,REDIRECT,/,blog removed -> homepage
/5-active-family-resolutions-for-2019,REDIRECT,/,blog removed -> homepage
/5-reasons-to-play-every-day,REDIRECT,/,blog removed -> homepage
/6-hacks-for-a-healthier-happy-hour,REDIRECT,/,blog removed -> homepage
/Services.html,REDIRECT,/group-fitness,explicit mapping
/about,NATIVE,/about,redesign serves this path directly
/about_forma.html,REDIRECT,/about,explicit mapping
/accessibility-statement,NATIVE,/accessibility-statement,redesign serves this path directly
/alc,REDIRECT,/group-fitness,explicit mapping
/all-about-forma-family-general-managers,REDIRECT,/,blog removed -> homepage
/app,NATIVE,/app,redesign serves this path directly
/aqua,REDIRECT,/aqua-gfit,explicit mapping
/aqua-gfit,NATIVE,/aqua-gfit,redesign serves this path directly
/athlete-2,REDIRECT,/training,explicit mapping
/athletic-gfit,REDIRECT,/group-fitness,explicit mapping
/author/darlene,REDIRECT,/,blog removed -> homepage
/author/david-miller,REDIRECT,/,blog removed -> homepage
/author/erik-turnbell,REDIRECT,/,blog removed -> homepage
/author/forma-gym,REDIRECT,/,blog removed -> homepage
/author/michele,REDIRECT,/,blog removed -> homepage
/author/owen-nguyen,REDIRECT,/,blog removed -> homepage
/author/ralph-rajs,REDIRECT,/,blog removed -> homepage
/author/sara-m,REDIRECT,/,blog removed -> homepage
/author/sara-m/page/2,REDIRECT,/,blog removed -> homepage
/author/sara-m/page/3,REDIRECT,/,blog removed -> homepage
/author/sara-m/page/4,REDIRECT,/,blog removed -> homepage
/author/tracy,REDIRECT,/,blog removed -> homepage
/author/yuki,REDIRECT,/,blog removed -> homepage
/barre-gfit,NATIVE,/barre-gfit,redesign serves this path directly
/be_a_trainer.html,REDIRECT,/about,explicit mapping
/benefits.html,REDIRECT,/join-now,explicit mapping
/blog,REDIRECT,/,explicit mapping
/building-your-booty-part-2,REDIRECT,/,blog removed -> homepage
/busy-mom-workouts-how-to-squeeze-in-your-workouts,REDIRECT,/,blog removed -> homepage
/cardio-hiit,NATIVE,/cardio-hiit,redesign serves this path directly
/category/community,REDIRECT,/,blog removed -> homepage
/category/export,REDIRECT,/,blog removed -> homepage
/category/fitness,REDIRECT,/,blog removed -> homepage
/category/fitness/page/2,REDIRECT,/,blog removed -> homepage
/category/fitness/page/3,REDIRECT,/,blog removed -> homepage
/category/fitness/page/4,REDIRECT,/,blog removed -> homepage
/category/kidzville,REDIRECT,/,blog removed -> homepage
/category/mind-body,REDIRECT,/,blog removed -> homepage
/category/nutrition,REDIRECT,/,blog removed -> homepage
/category/stretching-mobility,REDIRECT,/,blog removed -> homepage
/celebrate-small-stuff,REDIRECT,/,blog removed -> homepage
/chiropractic.html,REDIRECT,/recovery,explicit mapping
/contact_us.html,REDIRECT,/contact,explicit mapping
/create-a-healthy-lifestyle-with-mind-body,REDIRECT,/,blog removed -> homepage
/cryo,NATIVE,/cryo,redesign serves this path directly
/cycle,REDIRECT,/cycle-gfit,explicit mapping
/cycle-gfit,NATIVE,/cycle-gfit,redesign serves this path directly
/dance-gfit,NATIVE,/dance-gfit,redesign serves this path directly
